strain	date	url	mutational_fitness	region	division	recency	country	clade_membership	pango_lineage	emerging_lineage	Nextclade_pango	current_frequency	epiweek	S1_mutations	genbank_accession	host	submitting_lab	author	accession	originating_lab	ace2_binding	immune_escape	logistic_growth
USA/CA-CDC-02993506-001/2020	2020-01-22		-0.15	North America	California	Older	USA	19A	B	19A	B		202004		MN994468	Homo sapiens	Centers for Disease Control and Prevention, Division of Viral Diseases	Uehara et al					
USA/NE-CDC-03067304-001/2020	2020-03-05		-0.11	North America	Nebraska	Older	USA	19A	B.3	19A	B.3		202010		MT325592	Homo sapiens	Centers for Disease Control and Prevention, Division of Viral Diseases	Li et al					
USA/WI-CDC-03041142-001/2020	2020-01-31		-0.00	North America	Wisconsin	Older	USA	19A	B	19A	B		202005		MT039887	Homo sapiens	Centers for Disease Control and Prevention, Division of Viral Diseases	Zhang et al					
USA/OH-UHTL-21/2020	2020-05-30		-0.01	North America	Ohio	Older	USA	19A	B	19A	B		202022		MW592369	Homo sapiens	University Hospitals, UHTL	Sadri et al					
USA/IL-CDC-02983522-001/2020	2020-01-21			North America	Illinois	Older	USA	19A	A	19A	B		202004		MN988713	Homo sapiens	Centers for Disease Control and Prevention, Division of Viral Diseases	Tao et al					
Jamaica/UN-CDC-3088776-001/2020	2020-03-11		0.07	North America	Jamaica	Older	Jamaica	19A	B.6	19A	B.6.6		202011		MT507272	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Li et al					
USA/AK015/2020	2020-03-18		-0.15	North America	Alaska	Older	USA	19A	B	19A	B		202012		MT477840	Homo sapiens	Alaska State Virology Laboratory	DeRonde et al					
USA/KS-USAFSAM-S020/2020	2020-03-23		-0.15	North America	Kansas	Older	USA	19A	B.35	19A	B		202013		MT873887	Homo sapiens	United States Air Force School of Aerospace Medicine, Public Health	Fries et al		United States Air Force School of Aerospace Medicine			
USA/TX-CDC-03050000-001/2020	2020-02-11		0.01	North America	Texas	Older	USA	19B	A	19B	A		202007		MT106054	Homo sapiens	Centers for Disease Control and Prevention, Division of Viral Diseases	Queen et al					
USA/AZ-CDC-LC0068726/2021	2021-05-25		0.46	North America	Arizona	Older	USA	19B	A.2.5.2	19B	A.2.5.2		202121	4.00	MZ372712	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Howard et al					
USA/WA-CDC-02982585-001/2020	2020-01-25		-0.06	North America	Washington	Older	USA	19B	A	19B	A		202004		MT020880	Homo sapiens	Centers for Disease Control and Prevention, Division of Viral Diseases	Harcourt et al					
USA/OH-UHTL-12/2020	2020-03-16		-0.13	North America	Ohio	Older	USA	19B	A	19B	A.1		202012		MW590344	Homo sapiens	University Hospitals, UHTL	Sadri et al					
USA/FL-CDC-03063111-001/2020	2020-02-28		-0.13	North America	Florida	Older	USA	19B	A	19B	A.1		202009		MT276330	Homo sapiens	Centers for Disease Control and Prevention, Division of Viral Diseases	Uehara et al					
USA/ND-NDDH-0031/2020	2020-03-23		-0.19	North America	North Dakota	Older	USA	19B	A.1	19B	A.1		202013		MW523981	Homo sapiens	ND Dept of Health, Microbiology	Wingerter et al					
USA/NV-QDX-2662/2020	2020-03-15		-0.19	North America	Nevada	Older	USA	19B	A.1	19B	A.1		202012		MW191389	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al		Quest Diagnostics			
USA/CO-QDX-682/2020	2020-03-18		-0.05	North America	Colorado	Older	USA	19B	A.1	19B	A.1		202012	2.00	MW064726	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al		Quest Diagnostics			
USA/WA-S36/2020	2020-03-02		-0.19	North America	Washington	Older	USA	19B	A.1	19B	A.1		202010		MT627317	Homo sapiens	Seattle Flu Study, University of Washington Medical Center	Nickerson et al		Washington State Department of Health			
USA/VT-CDC-03068154-001/2020	2020-03-05		-0.19	North America	Vermont	Older	USA	19B	A.1	19B	A.1		202010		MT472623	Homo sapiens	Centers for Disease Control and Prevention, Division of Viral Diseases	Queen et al					
USA/PR-CDC-S3/2020	2020-03-23		-0.19	North America	Puerto Rico	Older	USA	19B	A.1	19B	A.1		202013		MT419812	Homo sapiens	Centers for Disease Control and Prevention, Molecular Diagnostics and Research Laboratory	Santiago et al					
CAN/RIM-1/2020	2020-03-26		0.04	North America	Canada	Older	Canada	20A	B.1.147	20A	B.1.147		202013	1.00	MW599736	Homo sapiens	McGill University Health Centre, Department of Microbiology and immunology	Lupien et al					
USA/1089488/2020	2020-07-01		0.04	North America	Iowa	Older	USA	20A	B.1	20A	B.1		202027	1.00	ON184827	Homo sapiens	State Hygienic Laboratory at the University of Iowa, Molecular	Reeb et al		State Hygienic Laboratory at the University of Iowa			
USA/958002/2020	2020-04-11		0.05	North America	Iowa	Older	USA	20A	B.1	20A	B.1		202015	1.00	ON186394	Homo sapiens	State Hygienic Laboratory at the University of Iowa, Molecular	Reeb et al		State Hygienic Laboratory at the University of Iowa			
USA/KS-QDX-523/2020	2020-03-18		0.05	North America	Kansas	Older	USA	20A	B.1	20A	B.1		202012	1.00	MW064605	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al		Quest Diagnostics			
USA/MI-MDHHS-SC20532/2020	2020-05-14		0.05	North America	Michigan	Older	USA	20A	B.1	20A	B.1		202020	1.00	OL756667	Homo sapiens	Michigan Department of Health and Human Services, Bureau of Laboratories	Blankenship et al					
MEX/42/2020	2020-03-30		0.05	North America	Mexico	Older	Mexico	20A	B.1.609	20A	B.1.609		202014	1.00	MZ643408	Homo sapiens	Instituto de Biotecnologia, Genetica del Desarrollo y Fisiologia Molecular	Araiza-Rodriguez et al					
USA/TX-QDX-2883/2020	2020-08-10		0.04	North America	Texas	Older	USA	20A	B.1.609	20A	B.1.609		202033	1.00	MW487289	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al					
USA/MA-MGH-02721/2020	2020-09-25		0.06	North America	Massachusetts	Older	USA	20A	B.1	20A	B.1		202039	2.00	MW454508	Homo sapiens	Broad Institute of Harvard and MIT, Infectious Disease Program	Lemieux et al		Brigham and Womens Hospital			
USA/AK-PHL383/2020	2020-05-31		0.05	North America	Alaska	Older	USA	20A	B.1.181	20A	B.1		202023	1.00	MW079838	Homo sapiens	Alaska State Virology Laboratory, Department of Biology and Wildlife	DeRonde et al					
USA/MN-MDH-2894/2021	2021-01-29		0.07	North America	Minnesota	Older	USA	20A	B.1.234	20A	B.1.234		202104	1.00	MW893515	Homo sapiens	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Lorentz et al					
USA/UT-CDC-LC0000259/2020	2020-12-26		0.09	North America	Utah	Older	USA	20A	B.1	20A	B.1		202052	2.00	MW634139	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/CA-LACPHL-AE00162/2020	2020-09-09		0.07	North America	California	Older	USA	20A	B.1.421	20A	B.1.400		202037	1.00	MZ413478	Homo sapiens	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Hemarajata et al					
USA/MT-UMGC-00271/2021	2021-01-04		0.15	North America	Montana	Older	USA	20A	B.1.239	20A	B.1.239		202101	3.00	OQ332222	Homo sapiens	University of Montana, Molecular and Biomedical Sciences	Conner et al					
USA/UT-CDC-LC0008328/2021	2021-01-19		0.15	North America	Utah	Older	USA	20A	B.1.400	20A	B.1.400		202103	2.00	MW639909	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/UMW22110532/2020	2020-11-20		0.09	North America	Massachusetts	Older	USA	20A	B.1.409	20A	B.1.409		202047	1.00	MW882604	Homo sapiens	UMass Medical School, Center for Microbiome Research	Ward et al					
Mexico/SEARCH-100621/2021	2021-01-22		0.04	North America	Baja California	Older	Mexico	20A	B.1.232	20A	B.1.232		202103	1.00	OK547429	Homo sapiens	SEARCH Alliance San Diego, Scripps Research Institute	Andersen et al		SEARCH Alliance San Diego with Idanya Rubi Serafin Higuera, Manuel Sanchez Alavez, Jorge Luis Jimenez Niebla, German Ibarra, Jonathan Vincent Baena, Oscar Efren Zazueta Fierro with the help of Centro de Diagnostico COVID-19 UABC Tijuana			
USA/WA-S5377/2020	2020-10-28		0.06	North America	Washington	Older	USA	20A	B.1.232	20A	B.1.232		202044	1.00	MW773963	Homo sapiens	Seattle Flu Study, University of Washington Medical Center	Nickerson et al		WA State PHL			
USA/G_S099_082820/2020	2020-08-28		0.09	North America	Colorado	Older	USA	20A	B.1.558	20A	B.1.558		202035	1.00	OP724413	Homo sapiens	Colorado State University, Microbiology and Immunology	Sexton et al					
USA/IL-UW-2115/2020	2020-10-01		0.07	North America	Illinois	Older	USA	20A	B.1.396	20A	B.1.396		202040	1.00	MW341980	Homo sapiens	UW-Madison, Pathology and Laboratory Medicine	Moreno et al					
